[2021-05-22 18:40:35.935] Starting up round ID 28.
 - -------------------------
[2021-05-22 18:59:57.035] CRAFT: The wooden table frame crafted by Luicio Notav at (Wasteland (11, 194, 2))
[2021-05-22 18:59:58.918] CRAFT: The wooden table frame crafted by Luicio Notav at (Wasteland (10, 194, 2))
[2021-05-22 19:00:02.418] CRAFT: The wooden table frame crafted by Luicio Notav at (Wasteland (9, 194, 2))
[2021-05-22 19:00:04.719] CRAFT: The wooden table frame crafted by Luicio Notav at (Wasteland (8, 194, 2))
[2021-05-22 19:00:07.001] CRAFT: The wooden table frame crafted by Luicio Notav at (Wasteland (7, 194, 2))
[2021-05-22 19:00:09.605] CRAFT: The wooden table frame crafted by Luicio Notav at (Wasteland (6, 194, 2))
[2021-05-22 19:00:12.464] CRAFT: The wooden table frame crafted by Luicio Notav at (Wasteland (5, 194, 2))
[2021-05-22 19:00:17.126] CRAFT: The wooden table frame crafted by Luicio Notav at (Wasteland (4, 194, 2))
[2021-05-22 19:00:20.417] CRAFT: The wooden table frame crafted by Luicio Notav at (Wasteland (3, 194, 2))
[2021-05-22 19:00:24.385] CRAFT: The wooden table frame crafted by Luicio Notav at (Wasteland (2, 193, 2))
[2021-05-22 19:04:42.359] CRAFT: The girder crafted by Josef Polson at (Wasteland (22, 195, 2))
[2021-05-22 19:04:47.701] CRAFT: The girder crafted by Josef Polson at (Wasteland (22, 196, 2))
[2021-05-22 19:04:54.115] CRAFT: The old ratty sofa crafted by Luiz Borgos Segundor at (Wasteland (167, 156, 2))
[2021-05-22 19:05:02.046] CRAFT: The girder crafted by Josef Polson at (Wasteland (23, 196, 2))
[2021-05-22 19:05:07.996] CRAFT: The girder crafted by Josef Polson at (Wasteland (24, 196, 2))
[2021-05-22 19:05:13.725] CRAFT: The girder crafted by Josef Polson at (Wasteland (25, 196, 2))
[2021-05-22 19:05:18.983] CRAFT: The girder crafted by Josef Polson at (Wasteland (26, 196, 2))
[2021-05-22 19:05:25.520] CRAFT: The girder crafted by Josef Polson at (Wasteland (27, 196, 2))
[2021-05-22 19:05:30.988] CRAFT: The girder crafted by Josef Polson at (Wasteland (28, 196, 2))
[2021-05-22 19:05:44.910] CRAFT: The girder crafted by Josef Polson at (Wasteland (29, 196, 2))
[2021-05-22 19:05:51.904] CRAFT: The girder crafted by Josef Polson at (Wasteland (30, 196, 2))
[2021-05-22 19:05:58.692] CRAFT: The girder crafted by Josef Polson at (Wasteland (32, 195, 2))
[2021-05-22 19:06:04.121] CRAFT: The girder crafted by Josef Polson at (Wasteland (32, 196, 2))
[2021-05-22 19:06:08.943] CRAFT: The metal rod crafted by Josef Polson at (Wasteland (29, 195, 2))
[2021-05-22 19:09:55.329] CRAFT: The girder crafted by Josef Polson at (Wasteland (32, 195, 2))
[2021-05-22 19:10:00.324] CRAFT: The girder crafted by Josef Polson at (Wasteland (32, 196, 2))
[2021-05-22 19:10:07.990] CRAFT: The girder crafted by Josef Polson at (Wasteland (31, 196, 2))
[2021-05-22 19:14:22.771] CRAFT: The sandbags crafted by Josef Polson at (NCR (22, 191, 2))
[2021-05-22 19:14:27.594] CRAFT: The sandbags crafted by Josef Polson at (NCR (21, 190, 2))
[2021-05-22 19:14:31.351] CRAFT: The sandbags crafted by Josef Polson at (NCR (20, 190, 2))
[2021-05-22 19:14:40.999] CRAFT: The sandbags crafted by Josef Polson at (NCR (19, 191, 2))
[2021-05-22 19:14:46.757] CRAFT: The sandbags crafted by Josef Polson at (NCR (19, 190, 2))
[2021-05-22 19:17:07.084] CRAFT: The security airlock assembly crafted by Josef Polson at (Wasteland (30, 196, 2))
[2021-05-22 19:18:55.170] CRAFT: The �lock crafted by Luiz Borgos Segundor at (Building (218, 147, 2))
[2021-05-22 19:18:55.681] CRAFT: The key crafted by Luiz Borgos Segundor at (Building (218, 147, 2))
[2021-05-22 19:21:49.677] CRAFT: The �lock crafted by Unknown at (Village (150, 178, 2))
[2021-05-22 19:21:50.208] CRAFT: The key crafted by Unknown at (Village (150, 178, 2))
[2021-05-22 19:22:05.817] CRAFT: The metal rod crafted by Miguel Hastings at (Brotherhood of Steel RnD Department (235, 200, 3))
[2021-05-22 19:22:12.830] CRAFT: The metal bars crafted by Miguel Hastings at (Brotherhood of Steel RnD Department (233, 201, 3))
[2021-05-22 19:23:15.965] CRAFT: The metal rod crafted by Miguel Hastings at (Brotherhood of Steel RnD Department (233, 199, 3))
[2021-05-22 19:23:39.720] CRAFT: The metal rod crafted by Miguel Hastings at (Brotherhood of Steel RnD Department (232, 198, 3))
[2021-05-22 19:23:49.085] CRAFT: The metal bars crafted by Miguel Hastings at (Brotherhood of Steel RnD Department (233, 199, 3))
[2021-05-22 19:25:16.631] CRAFT: The girder crafted by Unknown at (Village (155, 181, 2))
[2021-05-22 19:26:57.974] CRAFT: The girder crafted by Unknown at (Wasteland (155, 182, 2))
[2021-05-22 19:27:17.773] CRAFT: The barred door crafted by Nizin Veerriene Primeiro at (City (58, 49, 2))
[2021-05-22 19:27:53.606] CRAFT: The wooden door crafted by Nizin Veerriene Primeiro at (City (58, 46, 2))
