[2021-05-16 15:44:19.817] Starting up round ID 10.
 - -------------------------
[2021-05-16 16:11:11.610] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Sou o Caveleiro Chefe." (language: Galactic Common) (Brotherhood of Steel RnD Department (244, 203, 3))
[2021-05-16 16:11:26.493] TCOMMS: Nickenzo12345/(Marjory Otis) [BOS] (spans:  ) "Sou opaladino supremo" (language: Galactic Common) (Brotherhood of Steel (124, 237, 2))
[2021-05-16 16:11:49.228] TCOMMS: Luiz20/(Luiz Borgos Terceiro) [Vault] (spans:  ) "Abri o vault" (language: Galactic Common) (Vault (46, 153, 4))
[2021-05-16 16:11:52.741] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Se está na base?" (language: Galactic Common) (Brotherhood of Steel 1st Floor Offices (221, 223, 3))
[2021-05-16 16:12:01.149] TCOMMS: kaduh/(Erika Miller) [Vault] (spans:  ) "Ok depois vou la fora minerar" (language: Galactic Common) (Vault (69, 183, 4))
[2021-05-16 16:12:07.804] TCOMMS: kaduh/(Erika Miller) [Vault] (spans:  ) "E cheio e monstro cuidado" (language: Galactic Common) (Vault (69, 183, 4))
[2021-05-16 16:12:32.616] TCOMMS: Luiz20/(Luiz Borgos Terceiro) [Vault] (spans:  ) "Eu abri pra olhar a localização pra informar o head paladin" (language: Galactic Common) (Vault (50, 158, 4))
[2021-05-16 16:12:53.917] TCOMMS: kaduh/(Erika Miller) [Vault] (spans:  ) "A gente fica uns 2 andares abaixo da superficie" (language: Galactic Common) (Vault (71, 185, 4))
[2021-05-16 16:12:58.051] TCOMMS: Luiz20/(Luiz Borgos Terceiro) [Vault] (spans:  ) "Eu não sei se ele tá planejando matar nois" (language: Galactic Common) (Vault (48, 158, 4))
[2021-05-16 16:13:08.663] TCOMMS: Luiz20/(Luiz Borgos Terceiro) [Vault] (spans:  ) "Então vem aqui" (language: Galactic Common) (Vault (48, 158, 4))
[2021-05-16 16:13:12.182] TCOMMS: Luiz20/(Luiz Borgos Terceiro) [Vault] (spans:  ) "Pra eu te dar arma" (language: Galactic Common) (Vault (48, 158, 4))
[2021-05-16 16:14:13.689] TCOMMS: Zero9e1/(Jordan Dawkins) [Common] (spans:  ) "Abre o portão" (language: Galactic Common) (Wasteland (77, 53, 2))
[2021-05-16 16:15:50.515] TCOMMS: kaduh/(Erika Miller) [Vault] (spans:  ) "Ja voulto vou ficar de SSD por um pouco" (language: Galactic Common) (Vault (59, 171, 4))
[2021-05-16 16:18:25.941] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Está saindo, Chefe Paladino?" (language: Galactic Common) (Brotherhood of Steel 1st Floor Offices (239, 236, 3))
[2021-05-16 16:18:31.852] TCOMMS: Nickenzo12345/(Marjory Otis) [BOS] (spans:  ) "Sim" (language: Galactic Common) (Wasteland (169, 202, 2))
[2021-05-16 16:18:39.344] TCOMMS: Nickenzo12345/(Marjory Otis) [BOS] (spans:  ) "Vou procurar a vault" (language: Galactic Common) (Wasteland (169, 204, 2))
[2021-05-16 16:18:43.856] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Cuidado." (language: Galactic Common) (Brotherhood of Steel 1st Floor Offices (239, 236, 3))
[2021-05-16 16:18:52.844] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Temos inimigos la fora, ainda." (language: Galactic Common) (Brotherhood of Steel 1st Floor Offices (239, 236, 3))
[2021-05-16 16:20:09.222] TCOMMS: kaduh/(Erika Miller) [Vault] (spans:  ) "Voltei" (language: Galactic Common) (Vault (59, 171, 4))
[2021-05-16 16:20:32.671] TCOMMS: Luiz20/(Luiz Borgos Terceiro) [Vault] (spans:  ) "Estou saindo" (language: Galactic Common) (Tunnel (51, 138, 4))
[2021-05-16 16:20:44.363] TCOMMS: Zero9e1/(Jordan Dawkins) [Common] (spans:  ) "ALO" (language: Galactic Common) (Wasteland (52, 64, 2))
[2021-05-16 16:21:04.039] TCOMMS: kaduh/(Erika Miller) [Vault] (spans:  ) "Acho melher irmo juntos" (language: Galactic Common) (Vault (49, 163, 4))
[2021-05-16 16:26:02.113] TCOMMS: Italos/(Josef Polson) [Common] (spans:  ) "Alguem vende pessoas?" (language: Galactic Common) (Legion (241, 31, 2))
[2021-05-16 16:29:47.769] TCOMMS: shirozinha/(Joseph Joestar) [BOS] (spans:  ) "Alo alo" (language: Galactic Common) (Brotherhood of Steel 1st Floor Offices (219, 217, 3))
[2021-05-16 16:29:52.906] TCOMMS: Pudinsboy/(Jeffrey Keener) [Common] (spans:  ) "Oi" (language: Galactic Common) (Wasteland (234, 160, 2))
[2021-05-16 16:29:57.705] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Alo" (language: Galactic Common) (Brotherhood of Steel Reactor (217, 207, 3))
[2021-05-16 16:30:00.914] TCOMMS: Luiz20/(Luiz Borgos Terceiro) [Common] (spans:  ) "Alo" (language: Galactic Common) (Vault (55, 162, 4))
[2021-05-16 16:30:02.884] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Alo" (language: Galactic Common) (Brotherhood of Steel Reactor (217, 208, 3))
[2021-05-16 16:30:03.034] TCOMMS: Pudinsboy/(Jeffrey Keener) [BOS] (spans:  ) "Oi" (language: Galactic Common) (Wasteland (232, 162, 2))
[2021-05-16 16:30:25.813] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Poderiam identificassem?" (language: Galactic Common) (Brotherhood of Steel Reactor (217, 206, 3))
[2021-05-16 16:30:37.382] TCOMMS: Pudinsboy/(Jeffrey Keener) [BOS] (spans:  ) "Estou perdido" (language: Galactic Common) (Wasteland (184, 130, 2))
[2021-05-16 16:30:45.899] TCOMMS: shirozinha/(Joseph Joestar) [BOS] (spans:  ) "Joseph..um star paladino" (language: Galactic Common) (Brotherhood of Steel 1st Floor Offices (219, 216, 3))
[2021-05-16 16:30:51.035] TCOMMS: shirozinha/(Joseph Joestar) [BOS] (spans:  ) "Estou no QG" (language: Galactic Common) (Brotherhood of Steel 1st Floor Offices (219, 216, 3))
[2021-05-16 16:31:01.241] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Jeffrey onde você está?" (language: Galactic Common) (Brotherhood of Steel Operations Department (231, 224, 3))
[2021-05-16 16:31:13.786] TCOMMS: Pudinsboy/(Jeffrey Keener) [BOS] (spans:  ) "Escuto gemidos..." (language: Galactic Common) (Wasteland (147, 170, 2))
[2021-05-16 16:31:26.271] TCOMMS: kaduh/(Erika Miller) [Vault] (spans:  ) "Vamos correr nas parte das baratas para economiza munição" (language: Galactic Common) (Caves (47, 135, 4))
[2021-05-16 16:31:48.161] TCOMMS: shirozinha/(Joseph Joestar) [BOS] (spans:  ) "Posição?" (language: Galactic Common) (Brotherhood of Steel Operations Department (228, 231, 3))
[2021-05-16 16:31:57.621] TCOMMS: Pudinsboy/(Jeffrey Keener) [BOS] (spans:  ) "Superficie" (language: Galactic Common) (Wasteland (164, 185, 2))
[2021-05-16 16:32:07.304] TCOMMS: GabrielDoomBR/(Baam Frest) [Common] (spans:  ) "Quem foi o viado que invadiu a armory do oasix" (language: Galactic Common) (Tunnel (73, 37, 3))
[2021-05-16 16:32:08.846] TCOMMS: GabrielDoomBR/(Baam Frest) [Common] (spans:  ) "Oasis" (language: Galactic Common) (Tunnel (73, 37, 3))
[2021-05-16 16:32:09.107] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Desça para o bunker" (language: Galactic Common) (Brotherhood of Steel Operations Department (231, 242, 3))
[2021-05-16 16:32:10.652] TCOMMS: GabrielDoomBR/(Baam Frest) [Common] (spans:  ) "Caralho" (language: Galactic Common) (Tunnel (73, 37, 3))
[2021-05-16 16:32:13.502] TCOMMS: GabrielDoomBR/(Baam Frest) [Common] (spans:  ) "To puto agora" (language: Galactic Common) (Tunnel (73, 37, 3))
[2021-05-16 16:32:13.867] TCOMMS: Pudinsboy/(Jeffrey Keener) [BOS] (spans:  ) "Ok" (language: Galactic Common) (Wasteland (157, 208, 2))
[2021-05-16 16:32:51.349] TCOMMS: N0fun/(Makenna Coldsmith) [Common] (spans:  ) "Mais que diabo" (language: Galactic Common) (Village (171, 97, 2))
[2021-05-16 16:33:02.923] TCOMMS: Italos/(Josef Polson) [Common] (spans:  ) "Abre o portão ai" (language: Galactic Common) (Wasteland (57, 51, 2))
[2021-05-16 16:33:07.515] TCOMMS: GabrielDoomBR/(Baam Frest) [Common] (spans:  ) "Pera ai" (language: Galactic Common) (Tunnel (71, 37, 3))
[2021-05-16 16:33:14.050] TCOMMS: GabrielDoomBR/(Baam Frest) [Common] (spans:  ) "To com uma situação aqui dentro" (language: Galactic Common) (Tunnel (71, 37, 3))
[2021-05-16 16:33:17.243] TCOMMS: GabrielDoomBR/(Baam Frest) [Common] (spans:  ) "Espera uns 2 min" (language: Galactic Common) (Tunnel (71, 37, 3))
[2021-05-16 16:33:20.967] TCOMMS: Italos/(Josef Polson) [Common] (spans:  ) "Eu ajudo" (language: Galactic Common) (Wasteland (57, 51, 2))
[2021-05-16 16:33:35.569] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Cavaleiros, não saiam do QG sem permissão." (language: Galactic Common) (Brotherhood of Steel (169, 220, 2))
[2021-05-16 16:33:45.515] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Quebra dessa regra é punivel" (language: Galactic Common) (Brotherhood of Steel (169, 222, 2))
[2021-05-16 16:34:28.169] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Star Knight, Fique ai em cima defendendo o portão." (language: Galactic Common) (Brotherhood of Steel (134, 237, 2))
