[2021-05-22 22:06:27.723] Starting up round ID 29.
 - -------------------------
[2021-05-22 22:29:10.071] TCOMMS: Luiz20/(Luiz Borgos Primeiro) [BOS] (spans:  ) "VEM NA MINHA SALA" (language: Galactic Common) (Brotherhood of Steel 1st Floor Offices (248, 197, 3))
[2021-05-22 22:29:12.944] TCOMMS: Kaduh/(Erika Miller) [Medical] (spans:  ) "Hhaaaa" (language: Galactic Common) (Followers of the Apocalypse (83, 56, 2))
[2021-05-22 22:29:37.241] TCOMMS: Darkrazor191/(Nero Vilontius) [Legion] (spans:  ) "ALGUEM AI?" (language: Galactic Common) (Wasteland (203, 63, 2))
[2021-05-22 22:29:39.550] TCOMMS: Luiz20/(Luiz Borgos Primeiro) [BOS] (spans:  ) "Eu quebrei o pote onde ele tava guardado" (language: Galactic Common) (Brotherhood of Steel 1st Floor Offices (247, 203, 3))
[2021-05-22 22:29:44.308] TCOMMS: alexalbright/(Alex Magnus Primeiro) [Legion] (spans:  ) "Opa" (language: Galactic Common) (Legion (218, 44, 2))
[2021-05-22 22:30:03.547] TCOMMS: Darkrazor191/(Nero Vilontius) [Legion] (spans:  ) "Onde tu estas senhor?" (language: Galactic Common) (Wasteland (212, 57, 2))
[2021-05-22 22:31:08.666] TCOMMS: Luiz20/(Luiz Borgos Primeiro) [BOS] (spans:  ) "Alguem vai pegar tecnologia pre-guerra" (language: Galactic Common) (Brotherhood of Steel RnD Department (233, 205, 3))
[2021-05-22 22:31:25.521] TCOMMS: Dantesousa/(Declan Smith) [BOS] (spans:  ) "Knights, investiguem a base" (language: Galactic Common) (Brotherhood of Steel (150, 237, 2))
[2021-05-22 22:31:34.101] TCOMMS: Dantesousa/(Declan Smith) [BOS] (spans:  ) "Alguem quebrou a porta" (language: Galactic Common) (Brotherhood of Steel (150, 237, 2))
[2021-05-22 22:31:43.746] TCOMMS: Shirozinha/(Tio Osso) [BOS] (spans:  ) "Aonde?" (language: Galactic Common) (Brotherhood of Steel Operations Department (227, 240, 3))
[2021-05-22 22:31:43.766] TCOMMS: N0fun/(Makenna Coldsmith) [BOS] (spans:  ) "De fato invadiram" (language: Galactic Common) (Brotherhood of Steel (166, 216, 2))
[2021-05-22 22:31:57.460] TCOMMS: Luiz20/(Luiz Borgos Primeiro) [BOS] (spans:  ) "Elder" (language: Galactic Common) (Brotherhood of Steel Operations Department (232, 219, 3))
[2021-05-22 22:32:06.651] TCOMMS: Luiz20/(Luiz Borgos Primeiro) [BOS] (spans:  ) "Prescisamos de metal" (language: Galactic Common) (Brotherhood of Steel Operations Department (228, 237, 3))
[2021-05-22 22:32:09.674] TCOMMS: Luiz20/(Luiz Borgos Primeiro) [BOS] (spans:  ) "E vidro" (language: Galactic Common) (Brotherhood of Steel Operations Department (228, 239, 3))
[2021-05-22 22:32:23.893] TCOMMS: Luiz20/(Luiz Borgos Primeiro) [BOS] (spans:  ) "Oque aconteceu aqui?" (language: Galactic Common) (Brotherhood of Steel (142, 237, 2))
[2021-05-22 22:34:07.479] TCOMMS: Kaduh/(Erika Miller) [Medical] (spans:  ) "Voltei tiver um ataque de SSD" (language: Galactic Common) (Wasteland (99, 59, 2))
[2021-05-22 22:34:25.068] TCOMMS: baeiou/(Roderick Malkav) [Medical] (spans:  ) "Claro. Claro. Já estou construindo sleeper na parte de cima." (language: Galactic Common) (Followers of the Apocalypse (86, 52, 3))
[2021-05-22 22:34:30.931] TCOMMS: baeiou/(Roderick Malkav) [Medical] (spans:  ) "O sleeper, digo." (language: Galactic Common) (Followers of the Apocalypse (89, 56, 3))
[2021-05-22 22:34:35.722] TCOMMS: Luiz20/(Luiz Borgos Primeiro) [BOS] (spans:  ) "Alguem vai pegar tencologia pre-guerra?" (language: Galactic Common) (Brotherhood of Steel (137, 237, 2))
[2021-05-22 22:34:43.285] TCOMMS: Dantesousa/(Declan Smith) [BOS] (spans:  ) "Sim sim." (language: Galactic Common) (Brotherhood of Steel (141, 237, 2))
[2021-05-22 22:34:44.054] TCOMMS: Josinhodasquebrada/(Belzebuth Azazel) [BOS] (spans:  ) "Vou tirar as armas do cara da entrada aqui" (language: Galactic Common) (Brotherhood of Steel (169, 221, 2))
[2021-05-22 22:34:46.086] TCOMMS: Luiz20/(Luiz Borgos Primeiro) [BOS] (spans:  ) "Pra pegar é facil" (language: Galactic Common) (Brotherhood of Steel Operations Department (228, 239, 3))
[2021-05-22 22:35:14.064] TCOMMS: Luiz20/(Luiz Borgos Primeiro) [BOS] (spans:  ) "Só usar welding tool em carro ou pegar nos lixo" (language: Galactic Common) (Brotherhood of Steel Operations Department (231, 217, 3))
[2021-05-22 22:37:14.303] TCOMMS: Kaduh/(Erika Miller) [Medical] (spans:  ) "Qual o nome da cirugia que fez em mim?" (language: Galactic Common) (Followers of the Apocalypse (94, 57, 2))
[2021-05-22 22:37:23.639] TCOMMS: Kaduh/(Erika Miller) [Medical] (spans:  ) "Para eu fazer nas outras pessoas" (language: Galactic Common) (Followers of the Apocalypse (94, 57, 2))
[2021-05-22 22:37:26.309] TCOMMS: Kaduh/(Erika Miller) [Medical] (spans:  ) "Se precisar" (language: Galactic Common) (Followers of the Apocalypse (94, 57, 2))
[2021-05-22 22:37:38.543] TCOMMS: baeiou/(Roderick Malkav) [Medical] (spans:  ) "Você irá saber qual é quando for necessário." (language: Galactic Common) (Followers of the Apocalypse (82, 52, 2))
[2021-05-22 22:37:51.666] TCOMMS: baeiou/(Roderick Malkav) [Medical] (spans:  ) "E quando souber." (language: Galactic Common) (Followers of the Apocalypse (86, 52, 2))
