[2021-05-16 03:43:50.151] Starting up round ID 8.
 - -------------------------
[2021-05-16 04:10:11.535] TCOMMS: dantesousa/(Dante Sousa) [BOS] (spans:  ) "Sim? estive dormindo por um tempo" (language: Galactic Common) (Brotherhood of Steel 1st Floor Offices (219, 223, 3))
[2021-05-16 04:10:23.976] TCOMMS: Baeiou/(Roderick Malkav) [BOS] (spans:  ) "Lâmpada substiuída." (language: Galactic Common) (Brotherhood of Steel 1st Floor Offices (224, 215, 3))
[2021-05-16 04:10:39.820] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Obrigado, sribe." (language: Galactic Common) (Brotherhood of Steel 1st Floor Offices (222, 224, 3))
[2021-05-16 04:10:44.251] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Scribe" (language: Galactic Common) (Brotherhood of Steel 1st Floor Offices (221, 224, 3))
[2021-05-16 04:15:39.149] TCOMMS: addervfx/(Xingling Tong) [Common] (spans:  ) "Olá." (language: Galactic Common) (Vault (36, 163, 4))
[2021-05-16 04:15:43.218] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Paladino, na escuta/" (language: Galactic Common) (Brotherhood of Steel 1st Floor Offices (223, 217, 3))
[2021-05-16 04:15:46.116] TCOMMS: Italos/(Josef Polson) [Common] (spans:  ) "Eae" (language: Galactic Common) (Enclave (128, 19, 3))
[2021-05-16 04:15:47.657] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "?" (language: Galactic Common) (Brotherhood of Steel 1st Floor Offices (223, 217, 3))
[2021-05-16 04:15:49.546] TCOMMS: shirozinha/(Joseph Joestar) [BOS] (spans:  ) "Afirmativo" (language: Galactic Common) (Brotherhood of Steel Leisure Areas (224, 248, 3))
[2021-05-16 04:15:50.167] TCOMMS: Italos/(Josef Polson) [Common] (spans:  ) "Tem algo pra vender?" (language: Galactic Common) (Enclave (128, 19, 3))
[2021-05-16 04:15:54.973] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Onde você está?" (language: Galactic Common) (Brotherhood of Steel 1st Floor Offices (223, 217, 3))
[2021-05-16 04:16:25.028] TCOMMS: addervfx/(Xingling Tong) [Common] (spans:  ) "Não, estou realizando pesquisas." (language: Galactic Common) (Vault (44, 164, 4))
[2021-05-16 04:17:49.068] TCOMMS: addervfx/(Xingling Tong) [Common] (spans:  ) "O mais importante é o futuro." (language: Galactic Common) (Vault (43, 161, 4))
[2021-05-16 04:17:55.012] TCOMMS: Italos/(Josef Polson) [Common] (spans:  ) "Com mutantes?" (language: Galactic Common) (Enclave (128, 18, 3))
[2021-05-16 04:17:59.277] TCOMMS: shirozinha/(Joseph Joestar) [BOS] (spans:  ) "Saindo da base agora" (language: Galactic Common) (Brotherhood of Steel Operations Department (228, 236, 3))
[2021-05-16 04:18:05.339] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Cuidado, paladino." (language: Galactic Common) (Brotherhood of Steel Operations Department (226, 219, 3))
[2021-05-16 04:18:12.411] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Dependemos de você" (language: Galactic Common) (Brotherhood of Steel Operations Department (226, 219, 3))
[2021-05-16 04:18:15.717] TCOMMS: addervfx/(Xingling Tong) [Common] (spans:  ) "O que acha de mechas?" (language: Galactic Common) (Vault (37, 163, 4))
[2021-05-16 04:18:18.288] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Qualquer coisa, avise no radio." (language: Galactic Common) (Brotherhood of Steel Operations Department (226, 219, 3))
[2021-05-16 04:18:26.650] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Vou está pronto." (language: Galactic Common) (Brotherhood of Steel Operations Department (226, 219, 3))
[2021-05-16 04:18:38.215] TCOMMS: Italos/(Josef Polson) [Common] (spans:  ) "Quero uma PA" (language: Galactic Common) (Enclave (128, 18, 3))
[2021-05-16 04:18:49.253] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Lembrando que a NCR é nossa inimiga." (language: Galactic Common) (Brotherhood of Steel Operations Department (243, 231, 3))
[2021-05-16 04:18:49.315] TCOMMS: addervfx/(Xingling Tong) [Common] (spans:  ) "Já foi minerar?" (language: Galactic Common) (Vault (44, 162, 4))
[2021-05-16 04:19:09.448] TCOMMS: Baeiou/(Roderick Malkav) [BOS] (spans:  ) "A Enclave é também?" (language: Galactic Common) (Brotherhood of Steel RnD Department (226, 203, 3))
[2021-05-16 04:19:14.504] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Sim" (language: Galactic Common) (Brotherhood of Steel Leisure Areas (215, 241, 3))
[2021-05-16 04:19:28.257] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Somos &#34;Rivais&#34; por assim dizer." (language: Galactic Common) (Brotherhood of Steel Leisure Areas (215, 241, 3))
[2021-05-16 04:25:57.628] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Queria saber porque os livros que estão nos arquivos estão em branco." (language: Galactic Common) (Brotherhood of Steel RnD Department (242, 198, 3))
[2021-05-16 04:26:19.522] TCOMMS: dantesousa/(Dante Sousa) [BOS] (spans:  ) "Cade o escriba para arrumar? haha." (language: Galactic Common) (Brotherhood of Steel 1st Floor Offices (219, 224, 3))
[2021-05-16 04:26:37.068] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Proctor, na escuta?" (language: Galactic Common) (Brotherhood of Steel 1st Floor Offices (223, 214, 3))
